1:Date;2:Time;3:Temperature_Comedor_Sensor;4:Temperature_Habitacion_Sensor;5:Weather_Temperature;6:CO2_Comedor_Sensor;7:CO2_Habitacion_Sensor;8:Humedad_Comedor_Sensor;9:Humedad_Habitacion_Sensor;10:Lighting_Comedor_Sensor;11:Lighting_Habitacion_Sensor;12:Precipitacion;13:Meteo_Exterior_Crepusculo;14:Meteo_Exterior_Viento;15:Meteo_Exterior_Sol_Oest;16:Meteo_Exterior_Sol_Est;17:Meteo_Exterior_Sol_Sud;18:Meteo_Exterior_Piranometro;19:Exterior_Entalpic_1;20:Exterior_Entalpic_2;21:Exterior_Entalpic_turbo;22:Temperature_Exterior_Sensor;23:Humedad_Exterior_Sensor;24:Day_Of_Week
13/03/2012;11:45;18.1875;17.8275;0;216.56;221.92;39.9125;42415;81665;113.52;0;623.36;1.42625;9690.24;12604.2;95436.8;758.88;0;0;0;18115;48375;2
13/03/2012;12:00;18.4633;18.1207;6.8;219947;220363;39.9267;42.2453;81.7413;113605;0;623211;1592;11022;10787.2;95436.8;762069;0;0;0;18.4147;47808;2
13/03/2012;12:15;18.7673;18.4367;17;219403;218933;39772;42.2267;81424;113.6;0;622656;1.89133;13960.5;9669.63;95398.6;766251;0;0;0;18.8533;47432;2
13/03/2012;12:30;19.0727;18.7513;18;218613;217045;39776;42.0987;81.5013;113344;0;622571;1828;18511.2;9648.13;95360.3;766037;0;0;0;19.2907;47024;2
13/03/2012;12:45;19.3721;19.0414;20;217714;216.08;39.7757;42.0686;81.4657;113034;0;622.4;2.36071;26349;9208.32;95354.9;762743;0;0;0;19.74;45.4743;2
13/03/2012;13:00;19.6407;19.2773;20;218389;216011;39.8107;42.0347;81.2427;113.6;0;622.4;2.06333;36511.7;8694.78;95354.9;752683;0;0;0;20166;45.5467;2
13/03/2012;13:15;19912;19.5367;20;218155;215829;39.8613;41.9947;81.36;112981;0;622.4;2.23067;49288.5;8501.25;95354.9;740949;0;0;0;20566;44968;2
13/03/2012;13:30;20164;19.7307;20;216661;215296;39824;41.9947;81024;111259;0;621803;1924;62253.7;8687.62;95174.7;721109;0;0;0;20.8427;45.1813;2
13/03/2012;13:45;20412;19.9693;20;217461;214549;39.9587;42.1253;81104;83.3547;0;620651;2.51067;71453.4;8888.32;91848.7;699392;0;0;0;21204;45416;2
13/03/2012;14:00;20.64;20.1407;20;215349;213909;39.94;42.0427;81.1813;83.36;0;620309;2.65333;80076.8;9046.02;87217.5;677675;0;0;0;21.5227;45.0213;2
13/03/2012;14:15;20.8453;20.3267;20;213888;213312;39.9813;42.1787;61.0693;83.6107;0;619755;2.82667;86682.3;9182.21;81720.7;648427;0;0;0;21756;44.36;2
13/03/2012;14:30;21.0333;20.4713;20;215413;213739;40.3587;42.7067;51.2373;59952;0;619712;2.49467;88648.4;9347.07;75380.1;615.68;0;0;0;21984;44.7947;2
13/03/2012;14:45;21.2333;20.9093;20;216021;222528;40.9107;41.5147;43.3733;52824;0;619328;2466;91406.3;9712.64;68515.2;582869;0;0;0;22108;43984;2
